data_label,file,evidence,local_cross_check_not_for_upstream,proposed_upstream_change,confidence,patch_decision
Ani_Bubbler,General/Sprites/Bubbles/Anim - Bubbler.asm,"Obj_Bubbler uses Ani_Bubbler in sonic3k.asm; the include at Ani_Bubbler owns this animation script data; S3 and SK object pointer tables map object ID $54 to Obj_Bubbler; AIZ, HCZ, CNZ, and LBZ debug placement references use Obj_Bubbler.","Cross-check only: the implemented Bubbler object class encodes the same animation scripts and focused tests cover Bubbler behavior; ROM-backed art registration identifies MAP_BUBBLER_ADDR for the matching Bubbler renderer.","Rename generic byte_* animation script labels under Ani_Bubbler_ to Ani_Bubbler_Script0 through Ani_Bubbler_Script6, preserving old byte_* labels as comments on definitions.",high,patched
Map_Bubbler,General/Sprites/Bubbles/Map - Bubbler.asm,"Obj_Bubbler assigns Map_Bubbler in sonic3k.asm; the include at Map_Bubbler owns this mapping data; S3 and SK object pointer tables map object ID $54 to Obj_Bubbler; AIZ, HCZ, CNZ, and LBZ debug placement references use Map_Bubbler for Obj_Bubbler.","Cross-check only: ROM-backed constants and art registration identify MAP_BUBBLER_ADDR as the Bubbler mapping source; the implemented Bubbler object class uses the Bubbler art key, with focused tests and art-registry tests covering the path.","Rename generic word_* mapping frame labels under Map_Bubbler_ and Map_Bubbler2_ to Map_Bubbler_Frame0 through Map_Bubbler_Frame14, preserving old word_* labels as comments on definitions.",high,patched
Map_Bumper,General/Sprites/Level Misc/Map - Bumper.asm,"Obj_Bumper assigns Map_Bumper in the non-Pachinko/non-competition path in sonic3k.asm; Lockon S3 data binds Map_Bumper to this include; CNZ debug placement references use Map_Bumper for Obj_Bumper; S3 and SK Set 1 object pointer tables map object ID $4A to Obj_Bumper.","Cross-check only: the implemented CNZ bumper object class uses the CNZ bumper renderer; ROM-backed constants and art registration identify MAP_CNZ_BUMPER_ADDR as the Map_Bumper source, with focused CNZ bumper and art-registry tests covering the path.","Rename generic Frame_* mapping frame labels under Map_Bumper_ to Map_Bumper_Frame0 and Map_Bumper_Frame1, preserving old Frame_* labels as comments on definitions.",high,patched
Ani_Bumper,General/Sprites/Level Misc/Anim - Bumper.asm,"Obj_Bumper loads Ani_Bumper during the non-Pachinko/non-competition update path in sonic3k.asm; the include at Ani_Bumper owns this animation script data; S3 and SK Set 1 object pointer tables map object ID $4A to Obj_Bumper.","Cross-check only: the implemented CNZ bumper object class uses the same idle and hit animation states, with focused CNZ bumper tests covering the behavior.","Rename generic byte_* animation script labels under Ani_Bumper_ to Ani_Bumper_Idle and Ani_Bumper_Hit, preserving old byte_* labels as comments on definitions.",high,patched
Map_EnemyScore,General/Sprites/Enemy Misc/Map - Enemy Points.asm,"Obj_EnemyScore assigns Map_EnemyScore in sonic3k.asm; the include at Map_EnemyScore owns this mapping data; CNZ bumper and other object routines allocate Obj_EnemyScore as a dynamic child and set its mapping frame.","Cross-check only: the implemented S3K points object class uses Map_EnemyScore frame indices; ROM-backed points art loading parses MAP_ENEMY_SCORE_ADDR into the shared points renderer, with CNZ bumper and art-registry tests covering the dynamic score path.","Rename generic word_* mapping frame labels under Map_EnemyScore_ to Map_EnemyScore_Frame0 through Map_EnemyScore_Frame6, preserving old word_* labels as comments on definitions.",high,patched
Map_Ring,General/Sprites/Ring/Map - Ring.asm,"Obj_Ring, Obj_Bouncing_Ring, and Obj_Attracted_Ring assign Map_Ring in sonic3k.asm; the include at Map_Ring owns this mapping data; the ring routines select frames through mapping_frame values from Rings_frame, Ring_spill_anim_frame, and animation scripts.","Cross-check only: the implemented S3K ring art builds the same eight rendered ring and sparkle frames for the shared RingSpriteSheet; RingManager and lost-ring tests exercise spin, sparkle, and frame-index rendering paths.","Rename generic word_* mapping frame labels under Map_Ring_ to Map_Ring_Frame0 through Map_Ring_Frame7 plus Map_Ring_EmptyFrame, preserving old word_* labels as comments on definitions.",high,patched
Ani_RingSparkle,General/Sprites/Ring/Anim - Ring Sparkle.asm,"Obj_RingSparkle, bouncing rings, attracted rings, and slot rings load Ani_RingSparkle in sonic3k.asm; the include at Ani_RingSparkle owns this animation script data.","Cross-check only: the shared RingSpriteSheet carries a dedicated sparkle frame count and delay; RingManager sparkle lifecycle tests cover the collection-to-delete path that consumes the sparkle script frames.","Rename the generic byte_* animation script label under Ani_RingSparkle_ to Ani_RingSparkle_Sparkle, preserving the old byte_* label as a comment on the definition.",high,patched
Ani_Ring,General/Sprites/Ring/Anim - Ring.asm,"Obj_SlotRing loads Ani_Ring in sonic3k.asm; the include at Ani_Ring owns this animation script data.","Cross-check only: the shared RingSpriteSheet carries the four-frame spin sequence and separate spin frame count used by normal and lost-ring rendering paths, with RingManager and lost-ring tests covering frame-index rendering.","Rename the generic byte_* animation script label under Ani_Ring_ to Ani_Ring_Spin, preserving the old byte_* label as a comment on the definition.",high,patched
Ani_Spring,General/Sprites/Level Misc/Anim - Spring.asm,"Obj_Spring up, horizontal, down, and diagonal update routines load Ani_Spring in sonic3k.asm; the include at Ani_Spring owns this animation script data; the routines select the vertical, horizontal, and diagonal script pairs through anim values.","Cross-check only: the implemented S3K spring object builds the same idle and triggered script pair per spring variant, and focused spring tests cover vertical, horizontal, and diagonal trigger paths.","Rename generic byte_* animation script labels under Ani_Spring_ to vertical, horizontal, and diagonal idle/triggered script labels, preserving old byte_* labels as comments on definitions.",high,patched
Map_Spring,General/Sprites/Level Misc/Map - Spring.asm,"Obj_Spring assigns Map_Spring in sonic3k.asm; Spring_Common switches subtype bit 1 to Map_Spring2 for the alternate spring mappings; the include at Map_Spring owns both mapping tables; AIZ debug placements reference Obj_Spring with Map_Spring.","Cross-check only: the implemented S3K spring object renders vertical, horizontal, and diagonal spring variants through the shared spring art keys; ROM-backed art registration parses MAP_SPRING_ADDR and MAP_SPRING2_ADDR with vertical, horizontal, and diagonal frame filters; focused spring and art-registry tests cover these paths.","Rename generic word_* mapping frame labels under Map_Spring_ and Map_Spring2_ to Map_Spring_Frame0 through Map_Spring_Frame10 and Map_Spring2_Frame0 through Map_Spring2_Frame10, preserving old word_* labels as comments on definitions.",high,patched
